model,scenario,trials,success_rate,fallback_rate,model_cost_total_usd,model_cost_per_task_usd,expected_fallback_cost_total_usd,allocated_fixed_cost_total_usd,total_cost_usd,cost_per_successful_task_usd,monthly_cost_usd,break_even_success_rate,manual_task_cost_usd,price_source,price_date,notes
openai/gpt-5.4,base,58,0.431034,0.568966,0.881182,0.015193,198.0,8.7,207.581182,8.303247,3578.985905,0.194199,5.0,https://openrouter.ai/openai/gpt-5.4,2026-09-15,"Final descriptor-v2 live battery; source=results.json; fallback=not deterministic code-pass; provider_reported_cost=0.88118250; business assumptions: fallback $6/task, fixed $150/month, volume 1000/month, manual $5/task; business assumptions are scenario inputs, not observed hospital costs."
openai/gpt-5.4,success_minus_10pp,58,0.331034,0.668966,0.881182,0.015193,232.8,8.7,242.381182,12.62402,4178.985905,0.194199,5.0,https://openrouter.ai/openai/gpt-5.4,2026-09-15,"Final descriptor-v2 live battery; source=results.json; fallback=not deterministic code-pass; provider_reported_cost=0.88118250; business assumptions: fallback $6/task, fixed $150/month, volume 1000/month, manual $5/task; business assumptions are scenario inputs, not observed hospital costs."
openai/gpt-5.4,success_plus_10pp,58,0.531034,0.468966,0.881182,0.015193,163.2,8.7,172.781182,5.609779,2978.985905,0.194199,5.0,https://openrouter.ai/openai/gpt-5.4,2026-09-15,"Final descriptor-v2 live battery; source=results.json; fallback=not deterministic code-pass; provider_reported_cost=0.88118250; business assumptions: fallback $6/task, fixed $150/month, volume 1000/month, manual $5/task; business assumptions are scenario inputs, not observed hospital costs."
moonshotai/kimi-k2.6,base,58,0.258621,0.741379,0.329909,0.005688,258.0,8.7,267.029909,17.801994,4603.963953,0.192615,5.0,https://openrouter.ai/moonshotai/kimi-k2.6,2026-09-16,"Final descriptor-v2 live battery; source=yang_ruijia_moonshotai_kimi-k2.6_v2.json; fallback=not deterministic code-pass; provider_reported_cost=0.24100017; business assumptions: fallback $6/task, fixed $150/month, volume 1000/month, manual $5/task; business assumptions are scenario inputs, not observed hospital costs."
moonshotai/kimi-k2.6,success_minus_10pp,58,0.158621,0.841379,0.329909,0.005688,292.8,8.7,301.829909,32.807599,5203.963953,0.192615,5.0,https://openrouter.ai/moonshotai/kimi-k2.6,2026-09-16,"Final descriptor-v2 live battery; source=yang_ruijia_moonshotai_kimi-k2.6_v2.json; fallback=not deterministic code-pass; provider_reported_cost=0.24100017; business assumptions: fallback $6/task, fixed $150/month, volume 1000/month, manual $5/task; business assumptions are scenario inputs, not observed hospital costs."
moonshotai/kimi-k2.6,success_plus_10pp,58,0.358621,0.641379,0.329909,0.005688,223.2,8.7,232.229909,11.164899,4003.963953,0.192615,5.0,https://openrouter.ai/moonshotai/kimi-k2.6,2026-09-16,"Final descriptor-v2 live battery; source=yang_ruijia_moonshotai_kimi-k2.6_v2.json; fallback=not deterministic code-pass; provider_reported_cost=0.24100017; business assumptions: fallback $6/task, fixed $150/month, volume 1000/month, manual $5/task; business assumptions are scenario inputs, not observed hospital costs."
anthropic/claude-sonnet-4.6,base,58,0.172414,0.827586,0.900006,0.015517,288.0,8.7,297.600006,29.760001,5131.034586,0.194253,5.0,https://openrouter.ai/anthropic/claude-sonnet-4.6/pricing,2026-09-16,"Final descriptor-v2 live battery; source=hao_qi_anthropic_claude-sonnet-4.6_v2.json; fallback=not deterministic code-pass; provider_reported_cost=0.90000600; business assumptions: fallback $6/task, fixed $150/month, volume 1000/month, manual $5/task; business assumptions are scenario inputs, not observed hospital costs."
anthropic/claude-sonnet-4.6,success_minus_10pp,58,0.072414,0.927586,0.900006,0.015517,322.8,8.7,332.400006,79.142859,5731.034586,0.194253,5.0,https://openrouter.ai/anthropic/claude-sonnet-4.6/pricing,2026-09-16,"Final descriptor-v2 live battery; source=hao_qi_anthropic_claude-sonnet-4.6_v2.json; fallback=not deterministic code-pass; provider_reported_cost=0.90000600; business assumptions: fallback $6/task, fixed $150/month, volume 1000/month, manual $5/task; business assumptions are scenario inputs, not observed hospital costs."
anthropic/claude-sonnet-4.6,success_plus_10pp,58,0.272414,0.727586,0.900006,0.015517,253.2,8.7,262.800006,16.632912,4531.034586,0.194253,5.0,https://openrouter.ai/anthropic/claude-sonnet-4.6/pricing,2026-09-16,"Final descriptor-v2 live battery; source=hao_qi_anthropic_claude-sonnet-4.6_v2.json; fallback=not deterministic code-pass; provider_reported_cost=0.90000600; business assumptions: fallback $6/task, fixed $150/month, volume 1000/month, manual $5/task; business assumptions are scenario inputs, not observed hospital costs."
deepseek/deepseek-v4-pro,base,58,0.068966,0.931034,0.213584,0.003682,324.0,8.7,332.913584,83.228396,5739.889382,0.19228,5.0,https://openrouter.ai/deepseek/deepseek-v4-pro/api,2026-09-17,"Final descriptor-v2 live battery; source=live_deepseek_v4_v2_liuxuanlin.json; fallback=not deterministic code-pass; provider_reported_cost=0.17864116; business assumptions: fallback $6/task, fixed $150/month, volume 1000/month, manual $5/task; business assumptions are scenario inputs, not observed hospital costs."
